"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Mar 31 18:19:13 CST 2022","Thu Mar 31 18:19:14 CST 2022","981","testcase","test_register_login","TestRegisterLogin","","","1.使用非正确格式的邮箱地址进行注册",""
"passed","Thu Mar 31 18:19:12 CST 2022","Thu Mar 31 18:19:13 CST 2022","815","testcase","test_register_login","TestRegisterLoginSmoke","","","1.登录注册流程--注册--输入账号邮箱",""
"broken","Thu Mar 31 18:19:14 CST 2022","Thu Mar 31 18:19:14 CST 2022","77","testcase","test_register_login","TestRegisterLoginSmoke","","","2.登录注册流程--注册--输入验证码",""
"failed","Thu Mar 31 18:19:14 CST 2022","Thu Mar 31 18:19:14 CST 2022","172","testcase","test_register_login","TestRegisterLoginSmoke","","","3.登录注册流程--注册-设置密码",""
"failed","Thu Mar 31 18:19:14 CST 2022","Thu Mar 31 18:19:15 CST 2022","171","testcase","test_register_login","TestRegisterLoginSmoke","","","4.登录注册流程--登录--登录",""
